target_token,recall,precision,f1,rel_freq
dở,0.0,-1.0,-1.0,0.001286819792346
dang,0.0,-1.0,-1.0,0.0029248577455551
hỷ,0.0,-1.0,-1.0,0.0204502814258911
bớ,0.0,-1.0,-1.0,0.0006068899863152
email,1.0,1.0,1.0,1.0
chxhcn,1.0,1.0,1.0,1.0
chọi,0.0,-1.0,-1.0,0.0180595966690077
bịnh,0.0,-1.0,-1.0,0.0005148754225336
diêm,0.8852459016393442,1.0,0.9391304347826086,0.0110157464350881
pluto,1.0,0.9375,0.967741935483871,1.0
plūto,0.0,-1.0,-1.0,
πλούτων,0.0,-1.0,-1.0,
πλουτων,-1.0,0.0,-1.0,
eris,1.0,1.0,1.0,1.0
charon,1.0,1.0,1.0,1.0
ceres,1.0,1.0,1.0,0.975
vesto,1.0,1.0,1.0,1.0
melvin,1.0,1.0,1.0,1.0
slipher,1.0,1.0,1.0,1.0
clyde,1.0,1.0,1.0,1.0
tombaugh,1.0,1.0,1.0,1.0
kansas,1.0,1.0,1.0,1.0
lowell,1.0,1.0,1.0,1.0
đúp,1.0,1.0,1.0,0.9253731343283582
harvard,1.0,1.0,1.0,1.0
percival,1.0,1.0,1.0,1.0
冥王星,1.0,1.0,1.0,
houei,1.0,1.0,1.0,1.0
nojiri,1.0,1.0,1.0,1.0
resolvable,1.0,1.0,1.0,
disc,1.0,1.0,1.0,1.0
cast,1.0,1.0,1.0,1.0
harrington,1.0,1.0,1.0,1.0
myles,1.0,1.0,1.0,1.0
standish,1.0,1.0,1.0,
horizons,1.0,1.0,1.0,1.0
methane,1.0,1.0,1.0,1.0
monoxide,1.0,1.0,1.0,1.0
ganymede,1.0,1.0,1.0,1.0
titan,1.0,1.0,1.0,1.0
callisto,1.0,1.0,1.0,1.0
io,1.0,1.0,1.0,0.8095238095238095
plutino,1.0,1.0,1.0,
airborne,1.0,1.0,1.0,1.0
observatory,1.0,1.0,1.0,1.0
bruno,1.0,1.0,1.0,1.0
sicardy,1.0,1.0,1.0,
jay,1.0,1.0,1.0,0.9696969696969696
pasachoff,1.0,1.0,1.0,
college,0.6,1.0,0.7499999999999999,0.766497461928934
dale,1.0,1.0,1.0,1.0
cruikshank,1.0,1.0,1.0,1.0
ames,1.0,1.0,1.0,1.0
lơ,0.1081081081081081,1.0,0.1951219512195122,0.0141921397379912
lửng,0.0,-1.0,-1.0,0.0248645987198424
kozai,1.0,1.0,1.0,
pericentre,1.0,1.0,1.0,
chật,0.0,-1.0,-1.0,0.0080486114812643
nix,1.0,1.0,1.0,1.0
hydra,1.0,1.0,1.0,1.0
camera,1.0,1.0,1.0,0.9702970297029704
surveys,1.0,1.0,1.0,1.0
huble,1.0,1.0,1.0,
kuper,1.0,1.0,1.0,
nhẽ,0.0,-1.0,-1.0,0.0035569105691056
staehle,1.0,1.0,1.0,
jpl,1.0,1.0,1.0,1.0
range,1.0,1.0,1.0,1.0
reconnaissance,1.0,1.0,1.0,1.0
imager,1.0,1.0,1.0,
lorri,1.0,1.0,1.0,
pioneer,1.0,1.0,1.0,1.0
record,1.0,1.0,1.0,1.0
glenn,1.0,1.0,1.0,1.0
seaborg,1.0,1.0,1.0,1.0
plutonium,1.0,1.0,1.0,1.0
neptunium,1.0,1.0,1.0,
nepturne,1.0,1.0,1.0,
cerium,1.0,1.0,1.0,1.0
pallas,1.0,1.0,1.0,1.0
desc,1.0,1.0,1.0,1.0
none,1.0,1.0,1.0,1.0
setting,1.0,1.0,1.0,1.0
bottom,1.0,1.0,1.0,1.0
display,1.0,1.0,1.0,1.0
rather,1.0,1.0,1.0,1.0
large,1.0,1.0,1.0,1.0
icon,1.0,1.0,1.0,1.0
linking,1.0,1.0,1.0,1.0
graphic,1.0,1.0,1.0,1.0
dysnomia,1.0,1.0,1.0,1.0
hayden,1.0,1.0,1.0,1.0
iau,1.0,1.0,1.0,1.0
planet,1.0,1.0,1.0,1.0
kbo,1.0,1.0,1.0,1.0
dẹt,0.0,-1.0,-1.0,0.1412253374870197
minor,1.0,1.0,1.0,1.0
紅河,1.0,1.0,1.0,
honghe,1.0,1.0,1.0,1.0
koï,0.0,-1.0,-1.0,
koi,1.0,0.5,0.6666666666666666,0.9333333333333332
元江,1.0,1.0,1.0,1.0
禮社江,1.0,1.0,1.0,
傣,1.0,1.0,1.0,1.0
dăi,0.0,-1.0,-1.0,
彞,1.0,1.0,1.0,
哈尼,1.0,1.0,1.0,
hani,1.0,1.0,1.0,1.0
xiết,1.0,1.0,1.0,1.0
đuống,0.0,-1.0,-1.0,0.0013999164229001
nậm,0.0,-1.0,-1.0,0.0004333370962044
mễ,0.0,-1.0,-1.0,0.0120524953129184
nǎm,0.0,-1.0,-1.0,0.0003313754265093
bioóc,0.0,-1.0,-1.0,
biooc,-1.0,0.0,-1.0,
ngoèo,1.0,1.0,1.0,0.975609756097561
my,0.0,-1.0,-1.0,0.0354453528399311
ephesus,1.0,1.0,1.0,1.0
êphêxô,0.0,-1.0,-1.0,
ephêxô,-1.0,0.0,-1.0,1.0
smyrne,1.0,1.0,1.0,
quartodecimans,1.0,1.0,1.0,
nisan,1.0,1.0,1.0,1.0
suýt,1.0,1.0,1.0,0.9833333333333332
irênê,0.0,-1.0,-1.0,
irene,0.0,0.0,-1.0,0.6944444444444444
nicêa,0.0,-1.0,-1.0,
nicea,1.0,0.8571428571428571,0.923076923076923,1.0
constantin,1.0,1.0,1.0,1.0
nicaea,1.0,1.0,1.0,1.0
dionysius,1.0,1.0,1.0,1.0
exiguus,1.0,1.0,1.0,1.0
whitby,1.0,1.0,1.0,1.0
aleppo,1.0,1.0,1.0,1.0
sám,0.0,-1.0,-1.0,0.0172272354388843
gregorian,1.0,1.0,1.0,1.0
julian,1.0,1.0,1.0,0.8461538461538461
rome,1.0,1.0,1.0,0.988479262672811
chocolate,1.0,1.0,1.0,1.0
lazarus,1.0,1.0,1.0,1.0
pascha,1.0,1.0,1.0,1.0
πασχα,1.0,1.0,1.0,
liturgy,1.0,1.0,1.0,1.0
bright,1.0,1.0,1.0,1.0
week,1.0,1.0,1.0,1.0
九龍江,1.0,1.0,1.0,
myanmar,1.0,1.0,1.0,1.0
sạt,0.0,-1.0,-1.0,0.0019082620679906
lở,0.25,1.0,0.4,0.0122134279475982
encyclopaedia,1.0,1.0,1.0,1.0
britannica,1.0,1.0,1.0,1.0
tonle,-1.0,0.0,-1.0,0.6
sap,0.0,-1.0,-1.0,0.0207840042094185
dzanak,1.0,1.0,1.0,
dzakar,1.0,1.0,1.0,
lungmug,1.0,1.0,1.0,
guosongmucha,1.0,1.0,1.0,
peissel,1.0,1.0,1.0,
mụch,0.0,-1.0,-1.0,0.064516129032258
